Year,Investments_mln_EUR,Year_before,Notes
2015,4174,4637,Annual Report 2015 str. 2 –  E.ON before division (Uniper)
2016,3169,4174,Annual Report 2016 str. 2 – first year after division to Uniper
2017,3308,3169,Annual Report 2017 str. 2
2018,3523,3308,Annual Report 2018 str. 2
2019,5492,3523,Annual Report 2019 str. 2 – includes the acquisition of innogy from RWE
2020,4171,5492,Annual Report 2020 str. 2
2021,4762,4171,Annual Report 2021 str. 9
2022,4753,4762,Annual Report 2022 str. 12
2023,6421,4753,Annual Report 2023 str. 9
2024,7499,6463,Annual Report 2024 str. 9
2025,7023,5834,Annual Report 2025 str. 41
