"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2023","12.00","12.00","12.01","12.00","238.07K","0.00%"
"05/16/2023","12.00","12.00","12.01","12.00","220.55K","0.00%"
"05/15/2023","12.00","12.00","12.01","12.00","498.74K","0.00%"
"05/12/2023","12.00","12.00","12.02","12.00","463.29K","0.00%"
"05/11/2023","12.00","12.00","12.01","12.00","425.72K","0.00%"
"05/10/2023","12.00","12.00","12.01","12.00","230.21K","0.00%"
"05/09/2023","12.00","12.00","12.01","12.00","423.24K","0.00%"
"05/08/2023","12.00","12.00","12.01","12.00","1.23M","0.00%"
"05/05/2023","12.00","12.00","12.01","12.00","2.14M","0.00%"
"05/04/2023","12.00","12.00","12.01","12.00","21.45M","0.13%"
"05/03/2023","11.98","11.98","11.99","11.98","255.76K","0.00%"
"05/02/2023","11.98","11.91","11.99","11.91","901.00K","0.50%"
"04/28/2023","11.93","11.91","11.94","11.91","281.75K","0.00%"
"04/27/2023","11.93","11.91","11.94","11.91","196.36K","0.00%"
"04/26/2023","11.93","11.90","11.94","11.90","167.77K","0.08%"
"04/25/2023","11.91","11.90","11.93","11.90","553.31K","0.13%"
"04/24/2023","11.90","11.90","11.91","11.90","384.58K","0.00%"
"04/21/2023","11.90","11.90","11.93","11.90","493.86K","0.00%"
"04/20/2023","11.90","11.90","11.91","11.90","254.56K","0.00%"
"04/19/2023","11.90","11.90","11.91","11.90","199.50K","-0.08%"
"04/18/2023","11.91","11.90","11.91","11.90","388.34K","0.04%"
"04/17/2023","11.90","11.90","11.91","11.90","73.62K","0.00%"
"04/14/2023","11.90","11.90","11.91","11.90","303.44K","0.00%"
"04/13/2023","11.90","11.90","11.92","11.90","248.82K","0.04%"
"04/12/2023","11.90","11.90","11.93","11.90","585.07K","-0.17%"
"04/11/2023","11.92","11.90","11.92","11.89","265.40K","-0.04%"
"04/06/2023","11.93","11.92","11.93","11.89","238.24K","0.21%"
"04/05/2023","11.90","11.88","11.92","11.88","378.06K","0.13%"
"04/04/2023","11.89","11.88","11.89","11.88","204.82K","-0.08%"
"04/03/2023","11.90","11.88","11.90","11.87","128.92K","0.13%"
"03/31/2023","11.88","11.90","11.90","11.87","135.22K","-0.13%"
"03/30/2023","11.90","11.86","11.90","11.86","413.86K","0.30%"
"03/29/2023","11.86","11.85","11.87","11.85","85.60K","0.08%"
"03/28/2023","11.85","11.84","11.86","11.84","214.21K","0.08%"
"03/27/2023","11.84","11.84","11.85","11.84","247.18K","0.04%"
"03/24/2023","11.84","11.86","11.86","11.84","483.33K","-0.13%"
"03/23/2023","11.85","11.84","11.85","11.84","254.94K","0.08%"
"03/22/2023","11.84","11.84","11.85","11.84","184.05K","0.04%"
"03/21/2023","11.84","11.83","11.85","11.83","288.50K","0.08%"
"03/20/2023","11.82","11.83","11.84","11.82","338.77K","-0.08%"
"03/17/2023","11.84","11.83","11.85","11.82","2.65M","0.04%"
"03/16/2023","11.83","11.82","11.84","11.82","610.38K","0.00%"
"03/15/2023","11.83","11.82","11.84","11.82","1.19M","0.04%"
"03/14/2023","11.82","11.82","11.84","11.82","629.98K","-0.08%"
"03/13/2023","11.84","11.85","11.86","11.82","973.94K","-0.38%"
"03/10/2023","11.88","11.83","11.88","11.83","352.25K","0.25%"
"03/09/2023","11.85","11.85","11.86","11.85","423.03K","0.00%"
"03/08/2023","11.85","11.85","11.87","11.85","626.47K","0.00%"
"03/07/2023","11.85","11.85","11.86","11.85","400.00K","0.00%"
"03/06/2023","11.85","11.84","11.87","11.84","316.59K","0.00%"
"03/03/2023","11.85","11.84","11.85","11.81","387.72K","0.00%"
"03/02/2023","11.85","11.81","11.85","11.80","814.15K","0.30%"
"03/01/2023","11.82","11.81","11.82","11.81","1.16M","0.21%"
"02/28/2023","11.80","11.82","11.85","11.80","1.90M","-0.25%"
"02/27/2023","11.82","11.86","11.87","11.82","479.17K","-0.30%"
"02/24/2023","11.86","11.88","11.89","11.86","863.77K","-0.13%"
"02/23/2023","11.88","11.86","11.91","11.84","521.21K","0.08%"
"02/22/2023","11.86","11.88","11.88","11.86","346.47K","-0.17%"
"02/21/2023","11.89","11.88","11.89","11.86","668.98K","0.04%"
"02/20/2023","11.88","11.89","11.90","11.88","390.30K","-0.17%"
"02/17/2023","11.90","11.81","11.90","11.81","627.27K","0.34%"
"02/16/2023","11.86","11.83","11.89","11.83","468.11K","0.13%"
"02/15/2023","11.85","11.81","11.93","11.81","674.51K","0.34%"
"02/14/2023","11.81","11.77","11.83","11.77","1.17M","0.21%"
"02/13/2023","11.78","11.80","11.81","11.74","19.94M","0.00%"
"02/10/2023","11.78","11.87","11.91","11.74","2.76M","-0.63%"
"02/09/2023","11.85","12.01","12.01","11.85","3.33M","-1.62%"
"02/08/2023","12.05","11.98","12.05","11.98","909.90K","0.42%"
"02/07/2023","12.00","11.96","12.01","11.96","443.51K","-0.12%"
"02/06/2023","12.02","11.85","12.02","11.78","1.17M","0.13%"
"02/03/2023","12.00","12.01","12.02","12.00","8.04M","-0.08%"
"02/02/2023","12.01","12.02","12.02","12.00","3.67M","-0.17%"
"02/01/2023","12.03","12.05","12.06","12.02","1.82M","-0.29%"
"01/31/2023","12.06","12.04","12.07","12.04","2.71M","0.12%"
"01/30/2023","12.05","12.03","12.06","12.03","1.58M","0.04%"
"01/27/2023","12.05","12.03","12.06","12.03","905.02K","0.12%"
"01/26/2023","12.03","12.01","12.07","12.01","3.79M","0.21%"
"01/25/2023","12.01","12.00","12.01","12.00","19.69M","0.04%"
"01/24/2023","12.00","12.00","12.01","12.00","614.15K","0.00%"
"01/23/2023","12.00","12.00","12.01","12.00","2.78M","0.00%"
"01/20/2023","12.00","12.00","12.01","12.00","3.81M","0.00%"
"01/19/2023","12.00","12.01","12.02","12.00","7.22M","-0.17%"
"01/18/2023","12.02","12.01","12.02","12.01","821.11K","0.17%"
"01/17/2023","12.00","12.01","12.02","12.00","710.73K","-0.08%"
"01/16/2023","12.01","12.00","12.01","12.00","407.50K","0.08%"
"01/13/2023","12.00","12.00","12.01","12.00","853.36K","0.00%"
"01/12/2023","12.00","12.00","12.01","12.00","832.14K","0.00%"
"01/11/2023","12.00","12.00","12.01","12.00","2.97M","0.00%"
"01/10/2023","12.00","12.00","12.01","12.00","1.32M","0.00%"
"01/09/2023","12.00","12.00","12.01","12.00","1.06M","0.00%"
"01/06/2023","12.00","12.01","12.01","12.00","1.33M","0.00%"
